GbProv,ProvCH,ProvEN,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
11,北京市,Beijing,790.0052343,936.6105063,1004.986853937560,1098.596606019650,943.7127808,1062.689208214060,1075.127593481070,1136.327871760740,965.4199218,1013.142739972750,1077.408589304380,1172.724392554600,1014.440132547440,1093.283632785180,1138.566967427650,1206.588643742750
12,天津市,Tianjin,288.3042241,348.6188379,377.3411268,401.4273775,337.3102156,380.1552226,398.1077431,414.6780069,339.2193372,389.2826958,407.7941609,414.7953998,356.7025933,398.0702655,425.7496174,438.0897236
13,河北省,Hebei,748.0809122,917.041046,944.4932699,1053.500167597760,862.9947659,967.3626968,995.2220203,1091.994751507240,918.8089153,981.1379546,1033.383236161650,1106.027390597660,975.9584702,1048.364466851590,1092.967760788430,1176.362530857390
14,山西省,Shanxi,372.0535214,433.6552037,475.8167481,529.0197076,440.8967196,498.9777051,577.2325588,675.5434198,519.9424953,568.0616136,605.90825,704.9086232,556.0226599,562.4293057,610.7844145,720.7038791
15,内蒙古,Neimenggu,357.8469384,423.4669796,462.2304841,509.3825276,429.3655747,487.5653763,535.6702997,598.450457,491.9008636,518.9813888,553.4882321,660.8811079,517.5409976,547.5815479,575.7370904,712.2972415
21,辽宁省,Liaoning,518.987342,625.3148657,667.2144813,758.6464302,583.0495741,665.942953,690.7477036,766.6363153,607.0685014,678.2588485,719.609321,775.9147011,649.9851655,719.1765207,755.1190934,827.72321
22,吉林省,Jilin,241.2138718,310.8921465,335.9873161,355.3441461,271.8055601,319.0656977,331.1726243,354.7582949,243.8402756,293.8281901,351.6431808,337.4193835,270.3056573,315.7497856,364.3225869,361.0131358
23,黑龙江省,Heilongjiang,242.9027663,293.2392829,339.656599,515.4019647,267.4450431,321.8468534,364.8768708,496.8109455,288.6693724,329.9385456,392.7770383,518.4005742,302.5293794,342.7200798,391.1733594,513.1827228
31,上海市,Shanghai,838.3870941,1025.883559374480,1054.373419287960,1219.972140503100,995.3606822,1100.282762010640,1108.074441185490,1270.260561368680,1026.942698996580,952.9588141,1184.767024616420,1379.747390201830,1086.546548377160,1169.213938380020,1232.026498390690,1346.195502632040
32,江苏省,Jiangsu,2122.344293190890,2630.175804044270,2719.236188569960,2931.761893904960,2575.805846440080,2866.892084681080,2891.180560912710,3064.958602115070,2662.360670238800,2761.089226241800,3018.441637821750,3205.952521031120,2798.233305495690,2994.360467170960,3140.692463894770,3378.240397953620
33,浙江省,Zhejiang,1353.201873217860,1667.741680151260,1716.034391211330,1944.574213439620,1649.535133697600,1804.970091850630,1805.922758511040,2038.950200121990,1752.461303511420,1786.669477343720,1903.723427209970,2110.135766969000,1861.036703895380,1955.017422766280,2023.888754181290,2211.134614167380
34,安徽省,Anhui,775.3019175,976.1529208,996.3590805,1095.438868537160,923.9451037,1052.331800535410,1071.435274341780,1052.608274145190,985.864991,1081.817731372630,1131.787362359910,1057.128745904520,1047.878081857080,1168.180233724650,1212.335931887390,1105.992361796140
35,福建省,Fujian,888.7558885,1089.635615374940,1121.511380617710,1245.826116141030,1055.826518050230,1173.360027298890,1179.837977277300,1307.593715266370,1096.718531695520,1172.326891233890,1195.213718582490,1407.756384001160,1118.863672570270,1256.702941484970,1266.225903370100,1512.250210296030
36,江西省,Jiangxi,533.1939251,640.9502592,663.8427077,731.2135858,640.0269963,707.9479952,725.8720728,763.8363287,671.7799592,728.2721574,746.0991521,805.7035307,682.4890939,756.4838614,773.8675276,860.1218248
37,山东省,Shandong,1507.586698926730,1849.011371025990,1919.828350639170,2120.815436681440,1781.513448453870,2019.023183876050,2078.491650870320,2188.282815712720,1922.305433911670,2088.242265664950,2175.430744381100,2184.420489654180,1971.811586245180,2299.241073006270,2330.364413680020,2256.851609906500
41,河南省,Henan,1112.782775267110,1392.054387351810,1404.442848378110,1479.992086327390,1262.321223443490,1464.614167299440,1409.519162711000,1364.526774960330,1264.405613504280,1459.436875659760,1446.587292141080,1327.851127443200,1280.542695628890,1431.023135641460,1490.359193855030,1499.120742511450
42,湖北省,Hubei,615.7510616,1116.165347539690,1135.593493629270,1411.508654675750,955.6315273,1227.640515688850,1131.837828466550,1444.326391416630,1045.699643270490,1263.489209980750,1230.657858824520,1457.591784339770,1122.132745826800,1360.261353323490,1325.674455827430,1533.408489315780
43,湖南省,Hunan,874.1519185,1022.554733665600,1058.340211685580,1192.637975420240,981.3101274,1078.896633192690,1084.973777852500,1205.394206471460,1027.224053160690,1097.120310978040,1145.965018456720,1214.128992084050,1080.568814422360,1161.978005792400,1217.235020204000,1304.729054017430
44,广东省,Guangdong,2294.810224613420,2754.956331374290,2952.781090979970,3308.124730099960,2709.819069133130,2952.628403798790,3011.890994312530,3454.343397267910,2757.833516593000,2985.682574474850,3101.082449017640,3549.929194044980,2916.667159475080,3162.478433395190,3257.799517309130,3631.478549971340
45,广西省,Guangxi,465.6381455,558.3348575,573.6973505,616.1535263,546.2274305,605.3329377,601.2799706,654.4501878,560.082356,600.8128663,619.2464396,690.3889107,593.9439097,614.0205653,666.0875846,712.1083283
46,海南省,Hainan,112.8578906,129.8242026,146.6721489,171.6032963,136.5326325,145.7709229,152.6158578,183.6791172,153.9007278,146.680824,155.767669,190.161396,170.7390261,162.1036846,175.0481941,205.8209374
50,重庆市,Chongqing,493.6539247,623.2973956,638.9510854,746.7062353,583.534076,663.1617972,670.5819606,753.4763785,607.3498556,659.130624,683.1391661,740.7863644,652.0400115,700.1939443,747.1109683,779.455886
51,四川省,Sichuan,1027.443930168060,1240.038013312740,1299.124510221250,1352.893152656920,1173.269776115280,1299.758761747600,1332.075135635660,1437.326425060820,1219.107593082790,1278.978406410610,1357.510571269670,1531.501804766770,1285.025996094990,1421.531847442100,1512.970370700930,1549.938394799970
52,贵州省,Guizhou,377.6169386,441.6242107,472.5441444,529.3157455,426.2647626,457.4521725,472.0488007,538.1574134,462.4524611,476.8992949,470.940695,514.1851738,475.9770662,511.0259924,497.0690377,538.7804622
53,云南省,Yunnan,521.3716637,621.98604,649.9589344,715.1288605,591.6737077,661.6273664,666.9843163,732.1964808,613.8210014,660.716867,694.3320525,771.0435718,649.2379487,698.4084544,722.8981664,806.6593876
54,西藏,Xizang,39.2419602,46.90618044,47.60150877,60.88512583,47.38428481,44.11488456,50.0829955,62.25303412,51.01888843,44.88134628,47.94286338,65.19819292,58.00269978,49.99371606,56.62215535,73.58169356
61,陕西省,Shaanxi,542.3338247,641.1520062,682.1891226,750.25869,627.8175487,697.9741952,739.5052512,831.5026702,690.4431187,754.8650549,779.9576334,863.8760562,727.789109,750.1876604,782.3467189,934.8369976
62,甘肃省,Gansu,195.9117608,227.7723773,238.9000721,264.8552313,220.8359613,249.9204112,259.5984379,278.2253294,241.0267339,266.5821337,279.4490636,293.2981926,260.4984375,280.97972,303.7434756,315.768423
63,青海省,Qinghai,66.36361877,75.95775027,78.8399989,85.35759132,74.03188875,79.50269413,82.17776956,91.93289147,79.99836733,81.73816911,83.57355173,98.5466939,85.36951304,87.67694941,86.58196467,102.2965008
64,宁夏省,Ningxia,82.35844306,98.7551627,104.9216589,115.4547767,96.70657719,106.7388402,113.6098197,126.4660588,107.0083671,118.3150667,118.7378698,139.2018889,115.3515849,121.789203,122.4772079,145.2742551
65,新疆,Xinjiang,305.8885961,356.2852244,347.2926744,409.4204005,345.4498474,391.5675514,403.8829089,455.2778118,391.8325659,421.9406401,465.3442518,455.3569193,408.2605487,434.1559553,495.9384788,505.1539116